country,year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
Afghanistan,2000,0.758,0.036,,0.01,0,0.004,0,0.022,0.001,0.224,0.011,0.498,0.024,-6.4,-0.052,0.067,0.128,,,,71.68,1.969,11.851,5.934,13.898,38.028,,,0,0,0,0.01,0,0,,0.01,0.01,0,0.06,0.01,0.01,,12.69,0.611,15.08,0.726,10.59,0.51,3.62,0.174,20779957,11283792896,5.914,284.582,0.524
Afghanistan,2001,0.798,0.037,,0.007,0,0.07,0.003,0.022,0.001,0.209,0.01,0.491,0.023,5.32,0.04,0.072,0.171,,,,72.478,1.975,11.92,5.956,14.107,38.519,,,0,0,0,0.01,0,0,,0.01,0.01,0,0.05,0.01,0.01,,13.61,0.63,13.49,0.624,9.36,0.433,3.22,0.149,21606992,11021273088,4.664,215.86,0.423
Afghanistan,2002,1.052,0.046,,0.011,0,0.055,0.002,,,0.546,0.024,0.44,0.02,31.79,0.254,0.056,0.238,,,,73.529,1.986,11.975,,14.653,38.958,,,0,0,0,,0.01,0,,0.01,0.01,0,,0.01,0.01,,16.21,0.717,16.09,0.712,11.19,0.495,3.7,0.164,22600774,18804871168,4.428,195.93,0.235
Afghanistan,2003,1.186,0.05,,0.01,0,0.092,0.004,,,0.465,0.02,0.619,0.026,12.77,0.134,0.056,0.228,,,,74.715,1.996,12.067,,15.118,39.577,,,0,0,0,,0.01,0.01,,0.01,0.01,0,,0.01,0.01,,16.9,0.714,16.78,0.709,11.48,0.485,3.84,0.162,23680871,21074343936,5.208,219.91,0.247
Afghanistan,2004,0.889,0.036,,0.01,0,0.092,0.004,,,0.227,0.009,0.561,0.023,-25.02,-0.297,0.04,0.185,,,,75.604,2.006,12.159,,15.346,40.138,,,0,0,0,,0,0.01,,0.01,0.01,0,,0.01,0.01,,16.64,0.673,16.52,0.668,11.46,0.463,3.81,0.154,24726689,22332571648,4.81,194.542,0.215
Afghanistan,2005,1.303,0.051,,0.006,0,0.106,0.004,,,0.33,0.013,0.861,0.034,46.57,0.414,0.051,0.212,,,,76.908,2.012,12.265,,15.675,40.999,,,0,0,0,,0.01,0.01,,0.01,0.01,0,,0.01,0.01,,17.52,0.683,17.4,0.678,11.67,0.455,3.97,0.155,25654274,25397688320,6.153,239.855,0.242
Afghanistan,2006,1.635,0.062,,0.012,0,0.161,0.006,,,0.329,0.012,1.133,0.043,25.48,0.332,0.057,0.211,,,,78.543,2.024,12.426,,16.004,42.132,,,0.01,0,0,,0.01,0.01,,0.01,0.01,0,,0.01,0.01,,21.16,0.801,21.04,0.796,14.89,0.563,4.06,0.154,26433058,28704401408,7.745,293.018,0.27
Afghanistan,2007,2.269,0.084,,0.012,0,0.749,0.028,,,0.308,0.011,1.2,0.044,38.72,0.633,0.066,0.226,,,,80.812,2.036,13.174,,16.313,43.332,,,0.01,0,0.01,,0.01,0.01,,0.01,0.01,0,,0.01,0.01,,25,0.922,24.88,0.918,18.1,0.668,4.25,0.157,27100542,34507530240,10.039,370.438,0.291
Afghanistan,2008,4.2,0.152,,0.015,0,1.077,0.039,,,0.297,0.011,2.81,0.101,85.12,1.931,0.115,0.245,,,,85.011,2.051,14.252,,16.609,46.143,,,0.01,0,0.01,,0.01,0.03,,0.01,0.01,0,,0.01,0.01,,31.66,1.142,31.54,1.138,22.17,0.8,4.79,0.173,27722281,36561043456,17.152,618.723,0.469
Afghanistan,2009,6.74,0.237,,0.013,0,1.513,0.053,,,0.271,0.01,4.943,0.174,60.49,2.54,0.152,0.241,,,,91.751,2.064,15.765,,16.881,51.085,,,0.02,0,0.01,,0,0.04,,0.01,0.01,0,,0.01,0.01,,37.08,1.306,36.96,1.302,25.43,0.896,5.32,0.187,28394806,44358721536,27.944,984.123,0.63
